Production date,Plant,Work center,Material,Material Description,Production in PHCs,,
1/2/2024,3004,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"11,812",,
1/2/2024,3003,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"36,140",,
1/2/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,"61,370",,
1/2/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"9,282",,
1/2/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"5,772",,
1/2/2024,3003,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"44,335",,
1/2/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"12,493",,
1/3/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,546,,
1/3/2024,3004,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"59,660",,
1/3/2024,3011,PRD-01,104-320,CC RPET1LT 1X6 PROMO,"60,715",,
1/3/2024,3003,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"44,070",,
1/3/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"43,901",,
1/3/2024,3005,PRD-02,103-575,CC RPET1.5LT 1X6 PROMO,"25,454",,
1/3/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,"76,003",,
1/3/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"24,804",,
1/3/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"21,060",,
1/3/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"8,268",,
1/3/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"10,920",,
1/3/2024,3007,PRD-06,103-575,CC RPET1.5LT 1X6 PROMO,"2,288",,
1/3/2024,3003,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"114,005",,
1/3/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"35,464",,
1/3/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"5,304",,
1/3/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,260,,
1/3/2024,3012,TPRD-01,103-541,COCA-COLA  PET 1.5L /6,"10,582",,
1/3/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"44,733",,
1/4/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"17,394",,
1/4/2024,3004,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"31,656",,
1/4/2024,3011,PRD-01,104-320,CC RPET1LT 1X6 PROMO,"56,884",,
1/4/2024,3003,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"43,680",,
1/4/2024,3004,PRD-01,291-430,SPRITE PET500  1X12,"28,629",,
1/4/2024,3011,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"80,795",,
1/4/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"130,702",,
1/4/2024,3005,PRD-02,103-575,CC RPET1.5LT 1X6 PROMO,"67,782",,
1/4/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,"121,649",,
1/4/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"23,400",,
1/4/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"21,060",,
1/4/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"2,964",,
1/4/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"63,118",,
1/4/2024,3007,PRD-06,103-575,CC RPET1.5LT 1X6 PROMO,"28,314",,
1/4/2024,3003,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"72,072",,
1/4/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"85,800",,
1/4/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"13,884",,
1/4/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"8,986",,
1/4/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,260,,
1/4/2024,3012,TPRD-01,103-541,COCA-COLA  PET 1.5L /6,"47,047",,
1/4/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"34,658",,
1/4/2024,3006,TPRD-1,294-600,SPRITE CAN250ML 1X12,"22,971",,
1/5/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"24,024",,
1/5/2024,3003,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"58,110",,
1/5/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"18,720",,
1/5/2024,3004,PRD-01,291-430,SPRITE PET500  1X12,413,,
1/5/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"73,216",,
1/5/2024,3011,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"66,494",,
1/5/2024,3002,PRD-02,101-418,COCA-COLA 500ML12PET PROMO,"23,624",,
1/5/2024,3011,PRD-02,101-418,COCA-COLA 500ML12PET PROMO,"32,525",,
1/5/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"43,451",,
1/5/2024,3005,PRD-02,103-575,CC RPET1.5LT 1X6 PROMO,"63,063",,
1/5/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,"49,572",,
1/5/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"20,592",,
1/5/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"15,834",,
1/5/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"9,438",,
1/5/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"80,371",,
1/5/2024,3007,PRD-06,103-575,CC RPET1.5LT 1X6 PROMO,"36,608",,
1/5/2024,3003,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"64,474",,
1/5/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"85,800",,
1/5/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"26,754",,
1/5/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"9,266",,
1/5/2024,3002,PRD-10,291-730,SPRITE BIB 20 Lt_Import,338,,
1/5/2024,3012,TPRD-01,103-541,COCA-COLA  PET 1.5L /6,"52,910",,
1/5/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"20,550",,
1/5/2024,3006,TPRD-1,294-600,SPRITE CAN250ML 1X12,"4,355",,
1/6/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"20,982",,
1/6/2024,3003,PRD-01,101-418,COCA-COLA 500ML12PET PROMO, -   ,,
1/6/2024,3004,PRD-01,103-575,CC RPET1.5LT 1X6 PROMO,"103,389",,
1/6/2024,3003,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"20,822",,
1/6/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"47,710",,
1/6/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"1,716",,
1/6/2024,3002,PRD-02,101-418,COCA-COLA 500ML12PET PROMO,"43,043",,
1/6/2024,3011,PRD-02,101-418,COCA-COLA 500ML12PET PROMO,226,,
1/6/2024,3005,PRD-02,103-575,CC RPET1.5LT 1X6 PROMO,"47,762",,
1/6/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,437,,
1/6/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,68,,
1/6/2024,3005,PRD-02,293-530,SPRITE LEMON PET 1.5L /6,"24,739",,
1/6/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"15,132",,
1/6/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"22,932",,
1/6/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"12,298",,
1/6/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"3,072",,
1/6/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,"66,394",,
1/6/2024,3003,PRD-06,103-575,CC RPET1.5LT 1X6 PROMO,"74,217",,
1/6/2024,3007,PRD-06,103-575,CC RPET1.5LT 1X6 PROMO,"44,044",,
1/6/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"103,389",,
1/6/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"26,715",,
1/6/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"6,739",,
1/6/2024,3002,PRD-10,291-730,SPRITE BIB 20 Lt_Import,260,,
1/6/2024,3012,TPRD-01,103-541,COCA-COLA  PET 1.5L /6,"86,372",,
1/6/2024,3004,TPRD-1,731-831,CC ZERO SGR CAN250ML 1X12-KN,"41,945",,
1/7/2024,3003,PRD-01,101-418,COCA-COLA 500ML12PET PROMO,"2,202",,
1/7/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"37,466",,
1/7/2024,3004,PRD-01,103-575,CC RPET1.5LT 1X6 PROMO,"1,001",,
1/7/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"13,202",,
1/7/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"6,864",,
1/7/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"7,796",,
1/7/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,"31,071",,
1/7/2024,3003,PRD-06,103-575,CC RPET1.5LT 1X6 PROMO,"15,358",,
1/7/2024,3007,PRD-06,103-575,CC RPET1.5LT 1X6 PROMO,"7,272",,
1/7/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,429,,
1/7/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"10,951",,
1/7/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"55,913",,
1/7/2024,3012,TPRD-01,103-541,COCA-COLA  PET 1.5L /6,"35,810",,
1/8/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"8,580",,
1/8/2024,3003,PRD-01,101-418,COCA-COLA 500ML12PET PROMO,"5,005",,
1/8/2024,3011,PRD-01,103-575,CC RPET1.5LT 1X6 PROMO,"74,789",,
1/8/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"21,970",,
1/8/2024,3002,PRD-02,101-418,COCA-COLA 500ML12PET PROMO, -   ,,
1/8/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"29,601",,
1/8/2024,3002,PRD-02,103-541,COCA-COLA  PET 1.5L /6,"1,859",,
1/8/2024,3005,PRD-02,103-575,CC RPET1.5LT 1X6 PROMO,104,,
1/8/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,91,,
1/8/2024,3005,PRD-02,293-530,SPRITE LEMON PET 1.5L /6,"18,590",,
1/8/2024,3004,PRD-02,294-300,SPRITE PET1L 1X6,"59,405",,
1/8/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"9,126",,
1/8/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"9,516",,
1/8/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"3,744",,
1/8/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"20,020",,
1/8/2024,3007,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"13,978",,
1/8/2024,3002,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,"5,005",,
1/8/2024,3002,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,77,,
1/8/2024,3003,PRD-06,294-300,SPRITE PET1L 1X6,"27,955",,
1/8/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"7,722",,
1/8/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"8,143",,
1/8/2024,3002,PRD-10,191-630,Fanta Orange BIB 10 Lt,546,,
1/8/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"96,382",,
1/9/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"26,910",,
1/9/2024,3003,PRD-01,101-418,COCA-COLA 500ML12PET PROMO,"19,767",,
1/9/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"113,113",,
1/9/2024,3011,PRD-01,103-541,COCA-COLA  PET 1.5L /6,"82,797",,
1/9/2024,3011,PRD-01,103-575,CC RPET1.5LT 1X6 PROMO,"50,489",,
1/9/2024,3007,PRD-01,133-500,DASANI WATER PET 1.5L 1X6,"46,410",,
1/9/2024,3003,PRD-01,291-430,SPRITE PET500  1X12,"2,402",,
1/9/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"81,583",,
1/9/2024,3004,PRD-02,104-320,CC RPET1LT 1X6 PROMO,"27,737",,
1/9/2024,3003,PRD-02,290-130,SPRITE RB250,"4,914",,
1/9/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,78,,
1/9/2024,3005,PRD-02,293-530,SPRITE LEMON PET 1.5L /6,"81,510",,
1/9/2024,3004,PRD-02,294-300,SPRITE PET1L 1X6,"73,164",,
1/9/2024,3006,PRD-03,101-404,CC RPET500ML 1X12 PROMO,"9,409",,
1/9/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"22,152",,
1/9/2024,3007,PRD-05,100-130,COCA-COLA RB 250 ML,"35,100",,
1/9/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"12,948",,
1/9/2024,3002,PRD-05,194-375,FANTA ORANGE PET1LT UPGRADE,"15,070",,
1/9/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"20,056",,
1/9/2024,3007,PRD-06,104-320,CC RPET1LT 1X6 PROMO,"55,692",,
1/9/2024,3002,PRD-06,110-557,CC PET 2L 1X6,"4,306",,
1/9/2024,3002,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,"41,105",,
1/9/2024,3003,PRD-06,294-300,SPRITE PET1L 1X6,"97,843",,
1/9/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,"4,163",,
1/9/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"15,210",,
1/9/2024,3002,PRD-09,825-200,FUS LEMON PET 250 ML 1X12,"11,794",,
1/9/2024,3002,PRD-10,191-630,Fanta Orange BIB 10 Lt,494,,
1/9/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"66,352",,
1/10/2024,3005,PRD-01,100-130,COCA-COLA RB 250 ML,"31,044",,
1/10/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"82,940",,
